Ticker,date,time,open,high,low,close,0,0
BANKNIFTY,20200901,09:08,23893.80,23893.80,23893.80,23893.80,0,0
BANKNIFTY,20200901,09:16,23898.95,23953.40,23572.50,23685.70,0,0
BANKNIFTY,20200901,09:17,23691.30,23737.05,23652.35,23725.70,0,0
BANKNIFTY,20200901,09:18,23721.25,23769.95,23687.60,23693.60,0,0
BANKNIFTY,20200901,09:19,23678.60,23687.25,23635.25,23680.50,0,0
BANKNIFTY,20200901,09:20,23666.90,23843.40,23655.40,23843.40,0,0
BANKNIFTY,20200901,09:21,23851.40,24010.10,23851.40,23951.80,0,0
BANKNIFTY,20200901,09:22,23962.85,23978.25,23941.35,23960.50,0,0
BANKNIFTY,20200901,09:23,23968.45,23968.45,23921.15,23944.25,0,0
BANKNIFTY,20200901,09:24,23933.60,23967.40,23898.40,23913.70,0,0
BANKNIFTY,20200901,09:25,23917.25,23960.30,23912.30,23930.60,0,0
BANKNIFTY,20200901,09:26,23931.00,24046.40,23930.75,24041.90,0,0
BANKNIFTY,20200901,09:27,24045.10,24091.00,24025.05,24081.10,0,0
BANKNIFTY,20200901,09:28,24083.00,24116.30,24071.35,24097.80,0,0
BANKNIFTY,20200901,09:29,24093.05,24110.65,24045.35,24100.85,0,0
BANKNIFTY,20200901,09:30,24099.20,24109.55,24074.55,24074.55,0,0
BANKNIFTY,20200901,09:31,24074.00,24170.25,24074.00,24154.15,0,0
BANKNIFTY,20200901,09:32,24152.25,24174.85,24148.10,24165.85,0,0
BANKNIFTY,20200901,09:33,24164.40,24176.50,24132.60,24176.50,0,0
BANKNIFTY,20200901,09:34,24181.95,24194.50,24151.45,24182.55,0,0
BANKNIFTY,20200901,09:35,24180.00,24199.65,24146.05,24147.35,0,0
BANKNIFTY,20200901,09:36,24145.40,24183.20,24142.60,24163.60,0,0
BANKNIFTY,20200901,09:37,24162.90,24162.90,24072.45,24074.00,0,0
BANKNIFTY,20200901,09:38,24077.60,24123.35,24064.65,24121.30,0,0
BANKNIFTY,20200901,09:39,24133.25,24133.25,24082.10,24095.50,0,0
BANKNIFTY,20200901,09:40,24095.65,24097.70,24043.25,24062.90,0,0
BANKNIFTY,20200901,09:41,24062.50,24063.40,23982.05,24006.25,0,0
BANKNIFTY,20200901,09:42,24007.85,24080.55,24002.15,24059.05,0,0
BANKNIFTY,20200901,09:43,24068.50,24101.20,24063.70,24090.40,0,0
BANKNIFTY,20200901,09:44,24082.90,24126.80,24082.70,24087.50,0,0
BANKNIFTY,20200901,09:45,24087.55,24098.55,24031.40,24031.70,0,0
BANKNIFTY,20200901,09:46,24029.80,24068.00,24027.50,24041.85,0,0
BANKNIFTY,20200901,09:47,24042.65,24042.65,23946.30,23958.25,0,0
BANKNIFTY,20200901,09:48,23955.55,23988.15,23924.70,23929.60,0,0
BANKNIFTY,20200901,09:49,23933.30,23971.05,23924.70,23924.70,0,0
BANKNIFTY,20200901,09:50,23927.40,23927.40,23832.35,23862.60,0,0
BANKNIFTY,20200901,09:51,23871.75,23922.05,23849.70,23914.05,0,0
BANKNIFTY,20200901,09:52,23916.05,23916.05,23815.75,23822.00,0,0
BANKNIFTY,20200901,09:53,23815.25,23815.25,23739.60,23748.05,0,0
BANKNIFTY,20200901,09:54,23749.25,23749.25,23681.00,23727.35,0,0
BANKNIFTY,20200901,09:55,23725.65,23726.45,23671.45,23716.65,0,0
BANKNIFTY,20200901,09:56,23720.55,23720.55,23641.80,23687.90,0,0
BANKNIFTY,20200901,09:57,23698.25,23698.25,23630.45,23656.55,0,0
BANKNIFTY,20200901,09:58,23656.15,23740.95,23624.65,23705.95,0,0
BANKNIFTY,20200901,09:59,23701.85,23814.45,23676.60,23806.80,0,0
BANKNIFTY,20200901,10:00,23807.70,23817.50,23774.70,23817.45,0,0
BANKNIFTY,20200901,10:01,23805.80,23809.65,23696.15,23732.15,0,0
BANKNIFTY,20200901,10:02,23729.95,23758.15,23697.90,23707.80,0,0
BANKNIFTY,20200901,10:03,23705.95,23733.40,23691.95,23697.00,0,0
BANKNIFTY,20200901,10:04,23700.10,23720.45,23674.10,23694.80,0,0
BANKNIFTY,20200901,10:05,23694.85,23733.45,23694.20,23717.00,0,0
BANKNIFTY,20200901,10:06,23714.95,23730.40,23672.95,23721.90,0,0
BANKNIFTY,20200901,10:07,23721.45,23782.40,23717.55,23763.85,0,0
BANKNIFTY,20200901,10:08,23769.40,23769.60,23721.95,23745.25,0,0
BANKNIFTY,20200901,10:09,23743.40,23743.40,23716.35,23716.35,0,0
BANKNIFTY,20200901,10:10,23717.15,23752.45,23717.15,23730.65,0,0
BANKNIFTY,20200901,10:11,23732.05,23792.60,23730.75,23786.15,0,0
BANKNIFTY,20200901,10:12,23787.05,23787.05,23750.10,23762.00,0,0
BANKNIFTY,20200901,10:13,23762.20,23793.50,23755.40,23776.30,0,0
BANKNIFTY,20200901,10:14,23783.25,23833.40,23778.35,23820.25,0,0
BANKNIFTY,20200901,10:15,23821.55,23879.60,23821.55,23848.45,0,0
BANKNIFTY,20200901,10:16,23857.60,23864.05,23809.50,23816.50,0,0
BANKNIFTY,20200901,10:17,23817.20,23842.50,23810.80,23841.75,0,0
BANKNIFTY,20200901,10:18,23837.75,23859.45,23823.30,23854.75,0,0
BANKNIFTY,20200901,10:19,23850.60,23852.00,23784.20,23784.20,0,0
BANKNIFTY,20200901,10:20,23779.65,23786.75,23742.55,23746.90,0,0
BANKNIFTY,20200901,10:21,23752.60,23757.55,23716.85,23741.80,0,0
BANKNIFTY,20200901,10:22,23737.00,23746.05,23712.30,23723.70,0,0
BANKNIFTY,20200901,10:23,23727.25,23760.65,23727.25,23742.85,0,0
BANKNIFTY,20200901,10:24,23745.25,23778.45,23744.80,23762.50,0,0
BANKNIFTY,20200901,10:25,23763.45,23763.45,23734.50,23745.00,0,0
